source_id,phot_g_mean_mag,bp_rp,mg,parallax,parallax_error,ra,dec,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,e_bp_min_rp_val,a_g_val,l,b,ecl_lat,ecl_lon,cluster
147469115153030528,13.516589,2.7291937,9.982032703526663,19.63761348194579,0.0582421292503497,71.98250297587495,25.579526176098817,81.90589263011951,-53.949103297278654,0.10704375762871424,0.05484890599039346,,,0.3847,0.688,175.37085642962728,-12.421110947329488,3.1494101102618575,73.77482595758421,Hyades
147710938992084096,15.709363,3.1336794,11.923481558229167,17.49136549986627,0.11440715838970071,69.22630341674264,24.498732952627705,80.07793297909534,-41.3902763858968,0.20661966068865903,0.132685908415859,,,0.1973,0.3332,174.60750660278728,-15.039064766570304,2.4083758059649965,71.15365024054562,Hyades
48203487411427456,7.3117757,0.72082806,3.983959574810198,21.599155847121597,0.10742947995766236,65.0545500934205,19.23332589281751,114.52073262181396,-35.47827084534282,0.19867700681866227,0.11124401957646228,38.362153977910666,0.1626945057384917,0.1075,0.201,176.1811510455901,-21.40037027852841,-2.1952175632188364,66.51511527215683,Hyades
48190739948429184,16.667233,4.1998425,13.673914240569164,25.196275330649286,0.5116944287362829,65.45714127675956,19.485558610470523,134.71567583377728,-38.41580464061073,0.9123433264743619,0.6185431720417408,,,,,176.24317602200196,-20.948103886541173,-2.0097928049429434,66.93193861141842,Hyades
48061409893621248,8.430403,0.90806866,5.0025882924261555,20.627049336082834,0.06342494004010826,67.1555375920541,19.740525157828195,102.97863758261599,-38.20152110922564,0.1203261964579444,0.09626118267371535,40.2288729565351,1.75494676826947,0.027,0.0675,177.14032703282922,-19.56384558090057,-2.01398985121068,68.55297077469173,Hyades
46975436002187136,6.4867163,0.5656414,3.119178853416475,21.20764849496003,0.05263258365604857,62.67706325492011,18.42312084704138,121.36472109310765,-30.92866597447213,0.1082425087983955,0.07737833534194181,37.83549462977855,0.3078162126301954,0.254,0.513,175.22308588583337,-23.622253119230734,-2.598260407264532,64.15560941829605,Hyades
3310615565476268032,6.0325947,0.60096216,2.649041866255791,21.051809776617613,0.07686839983671477,65.22014244064329,13.86437258154713,106.97509557668953,-12.701141900328624,0.1946670745545965,0.10711345540862402,,,0.531,1.0675,180.7599396604895,-24.734018023695057,-7.514590705343482,65.76710637599597,Hyades
3311038666998173184,13.5766535,2.9365911,10.113764537682616,20.296549460594196,0.15087975425327044,65.84972981052806,14.427852577362499,104.2562527873926,-22.864895708574757,0.322148096933213,0.2119947259296137,,,,,180.7017176128475,-23.90492461412485,-7.0603251043438755,66.46836875364814,Hyades
3310903740601986432,9.211576,1.0989523,5.743322867122242,20.24646845027351,0.04016623813869068,66.94642734675811,14.417667226435933,100.48678778003827,-19.207002506585305,0.07784060914509527,0.049995987831584585,39.59152717290279,0.2466476661871245,0.1155,0.24,181.43445132394442,-23.08232565399586,-7.2408591352076375,67.52330175478474,Hyades
3310702770492165120,11.991074,2.0931015,8.57646617334877,20.752886601231143,0.04382591510506347,64.8344979862436,14.31635042216714,107.99251303390842,-17.78588859614475,0.09995345637230917,0.06990165966526551,38.44631698728643,0.6653472988251273,0.0405,0.0635,180.1140051815456,-24.737278802667873,-7.005814556193334,65.47261933758969,Hyades
