# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 1020.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   0.4303377682   0.4303377682  -1.65731  3.54649   12.9763  11.9316  11.9582  10.6473   9.6221   8.3526   7.1178   6.4646   6.2431   6.1703   5.9402   6.0569
   0.4370793553   0.4370793553  -1.64044  3.54766   12.9228  11.8748  11.9016  10.5901   9.5688   8.3083   7.0784   6.4235   6.2040   6.1309   5.9043   6.0217
   0.4438209424   0.4438209424  -1.62386  3.54882   12.8699  11.8188  11.8456  10.5337   9.5162   8.2648   7.0397   6.3831   6.1656   6.0921   5.8690   5.9870
   0.4505625295   0.4505625295  -1.60734  3.54998   12.8168  11.7624  11.7894  10.4770   9.4634   8.2214   7.0011   6.3429   6.1274   6.0532   5.8339   5.9523
   0.4573041166   0.4573041166  -1.58862  3.55146   12.7547  11.6962  11.7234  10.4105   9.4018   8.1718   6.9579   6.2975   6.0846   6.0095   5.7952   5.9138
   0.4640457037   0.4640457037  -1.57018  3.55293   12.6934  11.6306  11.6579  10.3446   9.3409   8.1230   6.9156   6.2530   6.0425   5.9663   5.7572   5.8758
   0.4707872908   0.4707872908  -1.55202  3.55437   12.6328  11.5658  11.5933  10.2794   9.2806   8.0748   6.8740   6.2092   6.0010   5.9237   5.7198   5.8384
   0.4775288779   0.4775288779  -1.53411  3.55580   12.5733  11.5019  11.5295  10.2150   9.2211   8.0273   6.8332   6.1661   5.9600   5.8818   5.6829   5.8016
   0.4842704650   0.4842704650  -1.51647  3.55721   12.5147  11.4389  11.4667  10.1514   9.1623   7.9805   6.7933   6.1238   5.9197   5.8405   5.6466   5.7655
   0.4910120521   0.4910120521  -1.49907  3.55860   12.4573  11.3769  11.4048  10.0886   9.1043   7.9342   6.7541   6.0822   5.8799   5.7998   5.6108   5.7300
   0.4977536392   0.4977536392  -1.48191  3.55997   12.4008  11.3158  11.3439  10.0266   9.0470   7.8886   6.7156   6.0412   5.8407   5.7598   5.5755   5.6952
   0.5044952263   0.5044952263  -1.46299  3.56173   12.3364  11.2452  11.2735   9.9546   8.9811   7.8378   6.6741   5.9966   5.7981   5.7164   5.5379   5.6584
   0.5112368134   0.5112368134  -1.44334  3.56366   12.2687  11.1706  11.1992   9.8784   8.9115   7.7848   6.6316   5.9506   5.7543   5.6717   5.4995   5.6210
   0.5179784005   0.5179784005  -1.42397  3.56556   12.2022  11.0973  11.1261   9.8035   8.8431   7.7326   6.5897   5.9053   5.7111   5.6277   5.4617   5.5843
   0.5247199876   0.5247199876  -1.40486  3.56743   12.1369  11.0253  11.0543   9.7300   8.7759   7.6812   6.5484   5.8606   5.6685   5.5845   5.4244   5.5482
   0.5314615747   0.5314615747  -1.38601  3.56927   12.0726  10.9545  10.9837   9.6579   8.7100   7.6307   6.5075   5.8166   5.6266   5.5421   5.3878   5.5126
   0.5382031619   0.5382031619  -1.36738  3.57109   12.0092  10.8848  10.9142   9.5872   8.6453   7.5810   6.4670   5.7731   5.5852   5.5003   5.3516   5.4776
   0.5449447490   0.5449447490  -1.34900  3.57288   11.9467  10.8162  10.8459   9.5179   8.5818   7.5321   6.4269   5.7303   5.5445   5.4593   5.3160   5.4430
   0.5516863361   0.5516863361  -1.33040  3.57475   11.8830  10.7464  10.7763   9.4477   8.5173   7.4827   6.3863   5.6870   5.5035   5.4181   5.2804   5.4085
   0.5584279232   0.5584279232  -1.31062  3.57689   11.8138  10.6705  10.7006   9.3716   8.4479   7.4301   6.3435   5.6414   5.4606   5.3752   5.2436   5.3730
   0.5651695103   0.5651695103  -1.29109  3.57900   11.7454  10.5959  10.6263   9.2973   8.3799   7.3785   6.3012   5.5964   5.4184   5.3331   5.2073   5.3380
   0.5719110974   0.5719110974  -1.27180  3.58109   11.6779  10.5226  10.5532   9.2247   8.3134   7.3277   6.2593   5.5519   5.3768   5.2919   5.1716   5.3036
   0.5786526845   0.5786526845  -1.25273  3.58315   11.6113  10.4505  10.4813   9.1537   8.2482   7.2778   6.2178   5.5078   5.3359   5.2515   5.1364   5.2698
   0.5853942716   0.5853942716  -1.23389  3.58519   11.5455  10.3794  10.4103   9.0838   8.1841   7.2286   6.1768   5.4642   5.2955   5.2118   5.1018   5.2366
   0.5921358587   0.5921358587  -1.21525  3.58721   11.4806  10.3091  10.3402   9.0147   8.1207   7.1800   6.1363   5.4210   5.2556   5.1726   5.0676   5.2039
   0.5988774458   0.5988774458  -1.19683  3.58920   11.4167  10.2396  10.2708   8.9462   8.0577   7.1320   6.0963   5.3782   5.2161   5.1339   5.0338   5.1716
   0.6056190329   0.6056190329  -1.17713  3.59163   11.3459  10.1613  10.1928   8.8688   7.9870   7.0801   6.0546   5.3329   5.1749   5.0934   4.9996   5.1393
   0.6123606200   0.6123606200  -1.15736  3.59411   11.2748  10.0817  10.1135   8.7895   7.9148   7.0278   6.0130   5.2875   5.1336   5.0528   4.9657   5.1073
   0.6191022071   0.6191022071  -1.13780  3.59657   11.2041  10.0027  10.0347   8.7108   7.8432   6.9759   5.9720   5.2427   5.0928   5.0128   4.9322   5.0757
   0.6258437942   0.6258437942  -1.11846  3.59900   11.1330   9.9243   9.9566   8.6334   7.7729   6.9248   5.9312   5.1988   5.0528   4.9735   4.8992   5.0445
   0.6325853813   0.6325853813  -1.09931  3.60141   11.0604   9.8465   9.8790   8.5579   7.7045   6.8742   5.8906   5.1561   5.0137   4.9353   4.8666   5.0135
   0.6393269684   0.6393269684  -1.08035  3.60380   10.9858   9.7696   9.8022   8.4849   7.6388   6.8245   5.8500   5.1148   4.9758   4.8985   4.8345   4.9827
   0.6460685555   0.6460685555  -1.06160  3.60616   10.9094   9.6934   9.7261   8.4142   7.5754   6.7756   5.8095   5.0748   4.9390   4.8630   4.8029   4.9520
   0.6528101426   0.6528094434  -1.04212  3.60896   10.8231   9.6097   9.6425   8.3384   7.5083   6.7245   5.7681   5.0352   4.9031   4.8286   4.7725   4.9225
   0.6595517297   0.6595492310  -1.02152  3.61238   10.7243   9.5150   9.5478   8.2538   7.4344   6.6700   5.7254   4.9956   4.8677   4.7951   4.7435   4.8945
   0.6662933169   0.6662888353  -1.00113  3.61576   10.6276   9.4207   9.4535   8.1688   7.3600   6.6159   5.6835   4.9558   4.8324   4.7616   4.7150   4.8671
