# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 20.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   3.3059928020   3.3059009725   2.04457  4.10856   -0.0890   0.3338   0.3309   0.4344   0.4845   0.5457   0.6832   0.7300   0.7649   0.7819   0.7879   0.8064
   3.3416149442   3.3415168559   2.06277  4.11152   -0.1289   0.3030   0.3000   0.4052   0.4559   0.5180   0.6580   0.7056   0.7410   0.7584   0.7646   0.7832
   3.3772370865   3.3771326835   2.08079  4.11445   -0.1682   0.2725   0.2694   0.3763   0.4277   0.4906   0.6332   0.6814   0.7174   0.7353   0.7416   0.7604
   3.4128592287   3.4127483539   2.09863  4.11735   -0.2069   0.2423   0.2392   0.3477   0.3997   0.4636   0.6085   0.6574   0.6940   0.7123   0.7188   0.7377
   3.4484813710   3.4483638149   2.11631  4.12022   -0.2452   0.2124   0.2093   0.3194   0.3720   0.4368   0.5841   0.6336   0.6708   0.6896   0.6961   0.7152
   3.4841035132   3.4839792112   2.13381  4.12305   -0.2829   0.1829   0.1798   0.2915   0.3446   0.4103   0.5600   0.6101   0.6479   0.6671   0.6737   0.6929
   3.5197256555   3.5195955835   2.15103  4.12583   -0.3198   0.1539   0.1507   0.2640   0.3177   0.3842   0.5362   0.5870   0.6252   0.6449   0.6516   0.6710
   3.5553477977   3.5552129117   2.16796  4.12856   -0.3560   0.1254   0.1222   0.2369   0.2913   0.3586   0.5128   0.5642   0.6030   0.6230   0.6299   0.6494
   3.5909699400   3.5908299106   2.18475  4.13125   -0.3918   0.0971   0.0938   0.2101   0.2650   0.3332   0.4896   0.5416   0.5809   0.6013   0.6082   0.6279
   3.6265920822   3.6264467830   2.20138  4.13392   -0.4271   0.0692   0.0658   0.1836   0.2391   0.3081   0.4666   0.5192   0.5590   0.5798   0.5868   0.6066
   3.6622142244   3.6620633154   2.21787  4.13657   -0.4620   0.0415   0.0381   0.1573   0.2134   0.2832   0.4438   0.4969   0.5373   0.5585   0.5656   0.5855
   3.6978363667   3.6976795929   2.23421  4.13918   -0.4964   0.0141   0.0106   0.1313   0.1879   0.2586   0.4212   0.4749   0.5158   0.5373   0.5446   0.5646
   3.7334585089   3.7332957299   2.25041  4.14177   -0.5305  -0.0131  -0.0166   0.1055   0.1627   0.2341   0.3988   0.4531   0.4944   0.5164   0.5237   0.5438
   3.7690806512   3.7689116236   2.26648  4.14433   -0.5641  -0.0401  -0.0436   0.0799   0.1377   0.2099   0.3765   0.4314   0.4732   0.4955   0.5029   0.5232
   3.8047027934   3.8045274257   2.28241  4.14687   -0.5974  -0.0668  -0.0704   0.0546   0.1129   0.1859   0.3545   0.4099   0.4522   0.4749   0.4824   0.5028
   3.8403249357   3.8401429716   2.29821  4.14938   -0.6303  -0.0932  -0.0969   0.0294   0.0883   0.1621   0.3326   0.3885   0.4313   0.4543   0.4619   0.4824
   3.8759470779   3.8757583912   2.31388  4.15186   -0.6628  -0.1195  -0.1232   0.0045   0.0640   0.1385   0.3109   0.3674   0.4106   0.4340   0.4417   0.4623
   3.9115692202   3.9113734650   2.32942  4.15432   -0.6950  -0.1455  -0.1492  -0.0202   0.0398   0.1151   0.2894   0.3463   0.3900   0.4137   0.4215   0.4423
   3.9471913624   3.9469884029   2.34484  4.15676   -0.7268  -0.1713  -0.1751  -0.0447   0.0158   0.0919   0.2680   0.3255   0.3696   0.3937   0.4016   0.4224
   3.9828135046   3.9826030200   2.36014  4.15918   -0.7584  -0.1969  -0.2007  -0.0691  -0.0079   0.0689   0.2468   0.3048   0.3493   0.3737   0.3817   0.4027
   4.0184356469   4.0182255895   2.37520  4.16154   -0.7893  -0.2221  -0.2260  -0.0931  -0.0314   0.0462   0.2259   0.2843   0.3293   0.3541   0.3622   0.3832
   4.0540577891   4.0538563086   2.39002  4.16386   -0.8198  -0.2470  -0.2509  -0.1167  -0.0545   0.0239   0.2052   0.2641   0.3095   0.3346   0.3428   0.3639
   4.0896799314   4.0894880794   2.40473  4.16616   -0.8499  -0.2717  -0.2756  -0.1402  -0.0774   0.0017   0.1847   0.2441   0.2899   0.3153   0.3236   0.3448
   4.1253020736   4.1251208673   2.41934  4.16844   -0.8797  -0.2962  -0.3001  -0.1635  -0.1002  -0.0204   0.1643   0.2242   0.2704   0.2961   0.3045   0.3258
   4.1609242159   4.1607547093   2.43383  4.17069   -0.9093  -0.3205  -0.3245  -0.1866  -0.1228  -0.0423   0.1441   0.2044   0.2510   0.2770   0.2855   0.3069
   4.1965463581   4.1963896534   2.44821  4.17293   -0.9386  -0.3446  -0.3487  -0.2096  -0.1452  -0.0640   0.1240   0.1847   0.2318   0.2581   0.2667   0.2882
   4.2321685004   4.2320256489   2.46250  4.17515   -0.9676  -0.3686  -0.3727  -0.2324  -0.1675  -0.0856   0.1040   0.1652   0.2127   0.2393   0.2479   0.2695
   4.2677906426   4.2676628338   2.47668  4.17735   -0.9964  -0.3924  -0.3965  -0.2551  -0.1896  -0.1070   0.0841   0.1458   0.1937   0.2206   0.2293   0.2510
   4.3034127848   4.3033010240   2.49076  4.17952   -1.0249  -0.4160  -0.4202  -0.2776  -0.2115  -0.1283   0.0644   0.1265   0.1748   0.2020   0.2108   0.2326
   4.3390349271   4.3389405034   2.50474  4.18168   -1.0532  -0.4395  -0.4437  -0.2999  -0.2334  -0.1494   0.0448   0.1074   0.1560   0.1836   0.1924   0.2143
   4.3746570693   4.3745812495   2.51863  4.18382   -1.0813  -0.4628  -0.4670  -0.3221  -0.2550  -0.1704   0.0253   0.0883   0.1373   0.1652   0.1741   0.1962
   4.4102792116   4.4102232948   2.53243  4.18595   -1.1091  -0.4860  -0.4902  -0.3442  -0.2766  -0.1913   0.0059   0.0694   0.1188   0.1470   0.1560   0.1781
   4.4459013538   4.4458666457   2.54612  4.18805   -1.1367  -0.5090  -0.5133  -0.3662  -0.2980  -0.2120  -0.0133   0.0505   0.1004   0.1288   0.1379   0.1602
   4.4815234961   4.4815112941   2.55974  4.19014   -1.1641  -0.5319  -0.5362  -0.3880  -0.3193  -0.2327  -0.0325   0.0318   0.0820   0.1108   0.1199   0.1423
   4.5171456383   4.5171456383   2.57315  4.19219   -1.1910  -0.5545  -0.5588  -0.4095  -0.3403  -0.2530  -0.0515   0.0133   0.0638   0.0929   0.1021   0.1246
   4.5527677806   4.5527677806   2.58636  4.19419   -1.2176  -0.5768  -0.5812  -0.4308  -0.3611  -0.2732  -0.0702  -0.0050   0.0459   0.0752   0.0845   0.1071
   4.5883899228   4.5883899228   2.59949  4.19618   -1.2440  -0.5990  -0.6034  -0.4520  -0.3817  -0.2932  -0.0889  -0.0233   0.0280   0.0576   0.0670   0.0897
   4.6240120650   4.6240120650   2.61253  4.19815   -1.2702  -0.6210  -0.6255  -0.4730  -0.4022  -0.3131  -0.1074  -0.0414   0.0102   0.0401   0.0496   0.0724
   4.6596342073   4.6596342073   2.62549  4.20011   -1.2962  -0.6430  -0.6474  -0.4940  -0.4227  -0.3329  -0.1259  -0.0595  -0.0075   0.0227   0.0322   0.0551
   4.6952563495   4.6952563495   2.63837  4.20204   -1.3221  -0.6648  -0.6693  -0.5148  -0.4430  -0.3526  -0.1443  -0.0775  -0.0251   0.0054   0.0149   0.0379
   4.7308784918   4.7308784918   2.65116  4.20397   -1.3477  -0.6864  -0.6910  -0.5355  -0.4632  -0.3722  -0.1625  -0.0953  -0.0427  -0.0119  -0.0023   0.0208
   4.7665006340   4.7665006340   2.66389  4.20588   -1.3733  -0.7080  -0.7126  -0.5561  -0.4834  -0.3917  -0.1808  -0.1132  -0.0601  -0.0291  -0.0194   0.0038
   4.8021227763   4.8021227763   2.67653  4.20777   -1.3986  -0.7295  -0.7341  -0.5766  -0.5034  -0.4111  -0.1989  -0.1309  -0.0775  -0.0462  -0.0364  -0.0131
   4.8377449185   4.8377449185   2.68910  4.20965   -1.4238  -0.7508  -0.7554  -0.5970  -0.5233  -0.4304  -0.2169  -0.1485  -0.0948  -0.0632  -0.0534  -0.0300
   4.8733670608   4.8733670608   2.70160  4.21151   -1.4488  -0.7721  -0.7767  -0.6173  -0.5431  -0.4497  -0.2348  -0.1661  -0.1121  -0.0802  -0.0702  -0.0468
   4.9089892030   4.9089892030   2.71402  4.21336   -1.4737  -0.7932  -0.7979  -0.6376  -0.5629  -0.4688  -0.2527  -0.1836  -0.1292  -0.0971  -0.0871  -0.0636
   4.9446113452   4.9446113452   2.72637  4.21519   -1.4984  -0.8142  -0.8189  -0.6577  -0.5825  -0.4878  -0.2705  -0.2010  -0.1463  -0.1139  -0.1038  -0.0802
   4.9802334875   4.9802334875   2.73866  4.21701   -1.5230  -0.8351  -0.8399  -0.6777  -0.6021  -0.5068  -0.2882  -0.2184  -0.1634  -0.1307  -0.1205  -0.0969
   5.0158556297   5.0158556297   2.75089  4.21879   -1.5476  -0.8562  -0.8610  -0.6979  -0.6218  -0.5259  -0.3062  -0.2360  -0.1806  -0.1477  -0.1374  -0.1137
   5.0514777720   5.0514777720   2.76307  4.22051   -1.5723  -0.8774  -0.8822  -0.7182  -0.6417  -0.5453  -0.3243  -0.2538  -0.1981  -0.1649  -0.1546  -0.1308
   5.0870999142   5.0870999142   2.77519  4.22222   -1.5968  -0.8985  -0.9033  -0.7385  -0.6615  -0.5645  -0.3424  -0.2716  -0.2156  -0.1822  -0.1717  -0.1479
   5.1227220565   5.1227220565   2.78723  4.22392   -1.6212  -0.9195  -0.9243  -0.7586  -0.6812  -0.5837  -0.3605  -0.2893  -0.2330  -0.1993  -0.1888  -0.1649
   5.1583441987   5.1583441987   2.79921  4.22560   -1.6455  -0.9404  -0.9453  -0.7787  -0.7009  -0.6028  -0.3785  -0.3069  -0.2503  -0.2164  -0.2058  -0.1818
   5.1939663410   5.1939663410   2.81113  4.22727   -1.6696  -0.9612  -0.9661  -0.7987  -0.7205  -0.6219  -0.3964  -0.3245  -0.2676  -0.2334  -0.2228  -0.1987
   5.2295884832   5.2295884832   2.82299  4.22893   -1.6936  -0.9820  -0.9869  -0.8187  -0.7400  -0.6408  -0.4142  -0.3420  -0.2848  -0.2504  -0.2397  -0.2156
   5.2652106254   5.2652106254   2.83479  4.23057   -1.7175  -1.0026  -1.0076  -0.8385  -0.7594  -0.6597  -0.4320  -0.3595  -0.3020  -0.2673  -0.2565  -0.2323
   5.3008327677   5.3008327677   2.84652  4.23220   -1.7413  -1.0232  -1.0282  -0.8583  -0.7788  -0.6786  -0.4498  -0.3769  -0.3191  -0.2842  -0.2733  -0.2491
   5.3364549099   5.3364549099   2.85820  4.23382   -1.7650  -1.0437  -1.0487  -0.8780  -0.7981  -0.6973  -0.4675  -0.3942  -0.3361  -0.3010  -0.2901  -0.2657
   5.3720770522   5.3720770522   2.86982  4.23543   -1.7885  -1.0641  -1.0691  -0.8976  -0.8173  -0.7160  -0.4851  -0.4115  -0.3531  -0.3178  -0.3068  -0.2824
   5.4076991944   5.4076991944   2.88139  4.23703   -1.8120  -1.0844  -1.0895  -0.9172  -0.8365  -0.7346  -0.5027  -0.4288  -0.3701  -0.3345  -0.3234  -0.2989
